date,month,month_num,year,quarter,plan,price_per_user,new_customers,churned_customers,total_customers,churn_rate_pct,actual_revenue,budget_revenue,variance,variance_pct,marketing_spend,cac,ltv,ltv_cac_ratio,mrr,arr
2022-01-01,January,1,2022,Q1,Starter,49,79,0,79,8.0,3871,4000.0,-129.0,-3.2,2058.03,26.05,612.5,23.51,3871,46452
2022-01-01,January,1,2022,Q1,Pro,149,39,0,39,5.0,5811,6000.0,-189.0,-3.1,3191.75,81.84,2980.0,36.41,5811,69732
2022-01-01,January,1,2022,Q1,Business,499,16,0,16,3.0,7984,7500.0,484.0,6.5,1574.49,98.41,16633.33,169.02,7984,95808
2022-01-01,January,1,2022,Q1,Enterprise,1299,3,0,3,1.0,3897,6500.0,-2603.0,-40.0,2763.39,921.13,129900.0,141.02,3897,46764
2022-01-31,January,1,2022,Q1,Starter,49,84,6,157,8.0,7693,4060.0,3633.0,89.5,2862.35,34.08,612.5,17.97,7693,92316
2022-01-31,January,1,2022,Q1,Pro,149,41,1,79,5.0,11771,6090.0,5681.0,93.3,2973.16,72.52,2980.0,41.09,11771,141252
2022-01-31,January,1,2022,Q1,Business,499,15,0,31,3.0,15469,7612.5,7856.5,103.2,3245.35,216.36,16633.33,76.88,15469,185628
2022-01-31,January,1,2022,Q1,Enterprise,1299,4,0,7,1.0,9093,6597.5,2495.5,37.8,1888.7,472.17,129900.0,275.11,9093,109116
2022-03-02,March,3,2022,Q1,Starter,49,87,10,234,8.0,11466,4120.0,7346.0,178.3,1741.79,20.02,612.5,30.59,11466,137592
2022-03-02,March,3,2022,Q1,Pro,149,40,4,115,5.0,17135,6180.0,10955.0,177.3,3009.32,75.23,2980.0,39.61,17135,205620
2022-03-02,March,3,2022,Q1,Business,499,18,0,49,3.0,24451,7725.0,16726.0,216.5,3932.79,218.49,16633.33,76.13,24451,293412
2022-03-02,March,3,2022,Q1,Enterprise,1299,0,0,7,1.0,9093,6695.0,2398.0,35.8,2880.1,2880.1,129900.0,45.1,9093,109116
2022-04-01,April,4,2022,Q2,Starter,49,88,21,301,8.0,14749,4180.0,10569.0,252.8,2943.38,33.45,612.5,18.31,14749,176988
2022-04-01,April,4,2022,Q2,Pro,149,36,6,145,5.0,21605,6270.0,15335.0,244.6,1614.56,44.85,2980.0,66.44,21605,259260
2022-04-01,April,4,2022,Q2,Business,499,16,1,64,3.0,31936,7837.5,24098.5,307.5,2081.98,130.12,16633.33,127.83,31936,383232
2022-04-01,April,4,2022,Q2,Enterprise,1299,9,0,16,1.0,20784,6792.5,13991.5,206.0,2194.93,243.88,129900.0,532.64,20784,249408
2022-05-01,May,5,2022,Q2,Starter,49,83,22,362,8.0,17738,4240.0,13498.0,318.3,2023.77,24.38,612.5,25.12,17738,212856
2022-05-01,May,5,2022,Q2,Pro,149,39,6,178,5.0,26522,6360.0,20162.0,317.0,3841.64,98.5,2980.0,30.25,26522,318264
2022-05-01,May,5,2022,Q2,Business,499,12,1,75,3.0,37425,7950.0,29475.0,370.8,3322.82,276.9,16633.33,60.07,37425,449100
2022-05-01,May,5,2022,Q2,Enterprise,1299,0,0,16,1.0,20784,6890.0,13894.0,201.7,2448.64,2448.64,129900.0,53.05,20784,249408
2022-05-31,May,5,2022,Q2,Starter,49,95,29,428,8.0,20972,4300.0,16672.0,387.7,3211.54,33.81,612.5,18.12,20972,251664
2022-05-31,May,5,2022,Q2,Pro,149,43,10,211,5.0,31439,6450.0,24989.0,387.4,3440.0,80.0,2980.0,37.25,31439,377268
2022-05-31,May,5,2022,Q2,Business,499,16,2,89,3.0,44411,8062.5,36348.5,450.8,2169.35,135.58,16633.33,122.68,44411,532932
2022-05-31,May,5,2022,Q2,Enterprise,1299,6,0,22,1.0,28578,6987.5,21590.5,309.0,3857.27,642.88,129900.0,202.06,28578,342936
2022-06-30,June,6,2022,Q2,Starter,49,92,36,484,8.0,23716,4360.0,19356.0,443.9,2489.08,27.06,612.5,22.63,23716,284592
2022-06-30,June,6,2022,Q2,Pro,149,41,12,240,5.0,35760,6540.0,29220.0,446.8,2647.13,64.56,2980.0,46.16,35760,429120
2022-06-30,June,6,2022,Q2,Business,499,16,2,103,3.0,51397,8175.0,43222.0,528.7,2156.85,134.8,16633.33,123.39,51397,616764
2022-06-30,June,6,2022,Q2,Enterprise,1299,9,0,31,1.0,40269,7085.0,33184.0,468.4,3744.56,416.06,129900.0,312.21,40269,483228
2022-07-30,July,7,2022,Q3,Starter,49,88,46,526,8.0,25774,4420.0,21354.0,483.1,2773.82,31.52,612.5,19.43,25774,309288
2022-07-30,July,7,2022,Q3,Pro,149,47,10,277,5.0,41273,6630.0,34643.0,522.5,1617.79,34.42,2980.0,86.58,41273,495276
2022-07-30,July,7,2022,Q3,Business,499,22,3,122,3.0,60878,8287.5,52590.5,634.6,2555.4,116.15,16633.33,143.21,60878,730536
